id,topic,syllabus_ref,difficulty,is_hazard,prompt_ja,prompt_en,prompt_my,choice_a_ja,choice_b_ja,choice_a_en,choice_b_en,correct_answer,explanation_ja,explanation_en,explanation_my,hazard_p1_en,hazard_p1_answer,hazard_p2_en,hazard_p2_answer,hazard_p3_en,hazard_p3_answer,image_filename,media_src,verified,reviewer_notes
jp_car_0011,karimen_road_signs,jp.car.karimen.ch1-signs,easy,N,信号機のない踏切の手前に設置されている「踏切あり」の警戒標識は、運転者に減速と注意を促すものである。,"""Railroad crossing ahead"" warning signs are placed before crossings without signals to remind drivers to slow down and stay alert.","မီးပွိုင့်မရှိသော မီးရထားလမ်းဖြတ်မီရှေ့တွင် တပ်ဆင်ထားသော ""မီးရထားလမ်းဖြတ်ရှိ"" သတိပေးဆိုင်းဘုတ်သည် မောင်းသူအား အရှိန်လျှော့ပြီး သတိထားရန် တိုက်တွန်းသည်။",正しい,誤り,True,False,A,踏切あり標識は前方に踏切が存在することを警告し、運転者は減速して安全を確認する必要がある。,A railroad crossing sign warns drivers that there is a railroad crossing ahead and requires them to slow down and check for safety.,မီးရထားလမ်းဖြတ်ရှိ ဆိုင်းဘုတ်သည် ရှေ့တွင် မီးရထားလမ်းဖြတ်ရှိကြောင်း သတိပေးပြီး မောင်းသူသည် အရှိန်လျှော့၍ ဘေးကင်းမှုကို စစ်ဆေးရမည်။,,,,,,,,,PENDING,
jp_car_0012,karimen_road_signs,jp.car.karimen.ch1-signs,medium,N,「自動車専用」の標識がある道路は、原動機付自転車や軽車両も通行することができる。,Mopeds and light vehicles may also use roads marked with motor-vehicle-only signs.,"""ကားအထူးသုံးလမ်း"" ဆိုင်းဘုတ်ရှိသော လမ်းတွင် မော်တော်ဆိုင်ကယ်ငယ်များနှင့် အလေးချိန်နည်းယာဉ်များလည်း သွားလာနိုင်သည်။",正しい,誤り,True,False,B,自動車専用の標識がある道路には、原動機付自転車・軽車両・歩行者は通行できない。,"Mopeds, light vehicles, and pedestrians are not allowed to pass on roads marked with vehicle-only signs.",ကားအထူးသုံးလမ်း ဆိုင်းဘုတ်ရှိသော လမ်းတွင် မော်တော်ဆိုင်ကယ်ငယ်၊ အလေးချိန်နည်းယာဉ်နှင့် လူသွားလူလာများ သွားလာခွင့်မရှိပါ။,,,,,,,,,PENDING,
jp_car_0013,karimen_road_signs,jp.car.karimen.ch1-signs,easy,N,「横断歩道」の標識は、その地点に歩行者が道路を横断する場所があることを示している。,"A ""crosswalk"" sign indicates that there is a place for pedestrians to cross the road at that point.","""လူကူးမျဉ်း"" ဆိုင်းဘုတ်သည် ထိုနေရာတွင် လူသွားလူလာများ လမ်းကူးသန်းသည့်နေရာရှိကြောင်း ပြသည်။",正しい,誤り,True,False,A,横断歩道の標識がある場所では歩行者の横断に備え、付近を通過する際は速度を落として注意する必要がある。,"Where there is a crosswalk sign, be prepared for pedestrians to cross and slow down and use caution when passing nearby.",လူကူးမျဉ်းဆိုင်းဘုတ်ရှိသောနေရာတွင် လူသွားလူလာများ ကူးနိုင်ကြောင်း ကြိုတင်စဉ်းစား၍ အနီးဖြတ်သွားချိန် အရှိန်လျှော့ပြီး သတိထားရမည်။,,,,,,,,,PENDING,
jp_car_0014,karimen_road_signs,jp.car.karimen.ch1-signs,medium,N,「追越し禁止」の標識がある区間では、前車を追い越すことはできないが、進路変更だけであれば問題ない。,"You cannot pass the vehicle in front of you in areas where there is a ""No Passing"" sign, but there is no problem if you just change direction.","""ကျော်တက်ခွင့်မရှိ"" ဆိုင်းဘုတ်ရှိသော လမ်းပိုင်းတွင် ရှေ့ကားကို ကျော်တက်ခွင့်မရှိသော်လည်း လမ်းကြောင်းပြောင်းရုံကိုမူ ပြဿနာမရှိပါ။",正しい,誤り,True,False,A,追越し禁止標識は前の車を追い越して進む行為を禁止するものであり、追い越しを伴わない車線変更自体は規制の対象ではない。,"A no-passing sign prohibits the act of passing the vehicle in front of you, and changing lanes without overtaking is not subject to the regulation.",ကျော်တက်ခွင့်မရှိ ဆိုင်းဘုတ်သည် ရှေ့ကားကို ကျော်တက်ပြီးသွားသည့်လုပ်ရပ်ကိုသာ တားမြစ်ပြီး ကျော်တက်ခြင်းမပါသော လမ်းကြောင်းပြောင်းခြင်းကို ကန့်သတ်ခြင်းမရှိပါ။,,,,,,,,,PENDING,
jp_car_0015,karimen_road_signs,jp.car.karimen.ch1-signs,hard,N,「最大幅」を示す標識がある道路では、表示された幅を超える車幅の車両は通行できない。,"On roads with a maximum-width sign, vehicles wider than the indicated width may not pass.","""အများဆုံးအကျယ်"" ပြသည့်ဆိုင်းဘုတ်ရှိသော လမ်းတွင် ပြထားသောအကျယ်ထက် ကျယ်သောကားများ သွားလာခွင့်မရှိ။",正しい,誤り,True,False,A,最大幅の標識は道路や橋などの幅に制限がある場所に設置され、表示幅を超える車両の通行を禁止する。,"Maximum width signs are placed on roads, bridges, and other locations with limited width, and prohibit vehicles exceeding the indicated width from passing.",အများဆုံးအကျယ်ဆိုင်းဘုတ်သည် လမ်း သို့မဟုတ် တံတားကဲ့သို့ အကျယ်ကန့်သတ်ထားသောနေရာများတွင် တပ်ဆင်ပြီး ပြထားသောအကျယ်ထက်ကျယ်သော ယာဉ်များ သွားလာခွင့်ကို တားမြစ်သည်။,,,,,,,,,PENDING,
jp_car_0016,karimen_right_of_way,jp.car.karimen.ch2-priority,easy,N,信号機のない交差点で道幅が同じくらいの場合、左方から来る車が右方から来る車より優先される。,"If the roads are the same width at an intersection without traffic lights, cars coming from the left will have priority over cars coming from the right.",မီးပွိုင့်မရှိသော လမ်းဆုံတွင် လမ်းအကျယ်တူညီပါက ဘယ်ဘက်မှလာသောကားသည် ညာဘက်မှလာသောကားထက် ဦးစားပေးခံရသည်။,正しい,誤り,True,False,A,道幅が同じ交差点では、左方から来る車が優先となり、右方から来る車は左方車に道を譲らなければならない。,"At intersections where the roads are the same width, cars coming from the left have priority, and cars coming from the right must yield to cars on the left.",လမ်းအကျယ်တူညီသော လမ်းဆုံတွင် ဘယ်ဘက်မှလာသောကားက ဦးစားပေးခံရပြီး ညာဘက်မှလာသောကားသည် ဘယ်ဘက်ကားအတွက် လမ်းဖယ်ပေးရမည်။,,,,,,,,,PENDING,
jp_car_0017,karimen_right_of_way,jp.car.karimen.ch2-priority,medium,N,交差点で右折する車は、直進または左折する対向車よりも先に通行することができる。,Vehicles turning right at an intersection can pass ahead of oncoming vehicles going straight or turning left.,လမ်းဆုံတွင် ညာဘက်ကွေ့မည့်ကားသည် တည့်တည့်သွားမည့် သို့မဟုတ် ဘယ်ဘက်ကွေ့မည့် ဆန့်ကျင်ဘက်ကားများထက် ဦးစွာသွားနိုင်သည်။,正しい,誤り,True,False,B,右折車は直進・左折する対向車の進行を妨げてはならず、対向車が先に通過するのを待たなければならない。,"Vehicles turning right must not obstruct the progress of oncoming vehicles going straight or turning left, and must wait for the oncoming vehicle to pass first.",ညာဘက်ကွေ့မည့်ကားသည် တည့်တည့်/ဘယ်ဘက်ကွေ့မည့် ဆန့်ကျင်ဘက်ကားများ၏ သွားလာမှုကို နှောင့်ယှက်ခွင့်မရှိဘဲ ထိုကားများ အရင်ဖြတ်သွားသည်အထိ စောင့်ရမည်။,,,,,,,,,PENDING,
jp_car_0018,karimen_right_of_way,jp.car.karimen.ch2-priority,easy,N,緊急自動車が近づいてきたときは、交差点を避けて道路の左側に寄り一時停止しなければならない。,"When an emergency vehicle approaches, you must avoid the intersection and stop on the left side of the road.",အရေးပေါ်ယာဉ် ချဉ်းကပ်လာသောအခါ လမ်းဆုံကို ရှောင်ပြီး လမ်းဘယ်ဘက်ဘက်သို့ ကပ်၍ ခေတ္တရပ်ရမည်။,正しい,誤り,True,False,A,緊急自動車に進路を譲るため、交差点付近では交差点を避けて道路の左側に寄り一時停止するのが原則である。,The general rule is to avoid intersections and stop on the left side of the road to give way to emergency vehicles.,အရေးပေါ်ယာဉ်အတွက် လမ်းဖယ်ပေးရန် လမ်းဆုံအနီးတွင် လမ်းဆုံကို ရှောင်ပြီး လမ်းဘယ်ဘက်သို့ ကပ်၍ ခေတ္တရပ်ရန် အခြေခံသတ်မှတ်ထားသည်။,,,,,,,,,PENDING,
jp_car_0019,karimen_right_of_way,jp.car.karimen.ch2-priority,medium,N,環状交差点（ラウンドアバウト）では、すでに環道内を走行している車が進入してくる車より優先される。,"At roundabouts, vehicles already on the ring road have priority over incoming vehicles.",စက်ဝိုင်းပတ်လမ်းဆုံ (ရောင်းအဘောက်) တွင် စက်ဝိုင်းအတွင်း မောင်းနှင်နေပြီးသား ကားများက ဝင်လာမည့်ကားများထက် ဦးစားပေးခံရသည်။,正しい,誤り,True,False,A,環状交差点では環道内を走行中の車両が優先され、進入する車はその通行を妨げないよう一時停止や減速をして待つ必要がある。,"At roundabouts, vehicles traveling on the ring road have priority, and incoming vehicles must stop or slow down to avoid blocking traffic.",စက်ဝိုင်းပတ်လမ်းဆုံတွင် စက်ဝိုင်းအတွင်း မောင်းနှင်နေသောကားများက ဦးစားပေးခံရပြီး ဝင်လာမည့်ကားများသည် ၎င်းတို့၏သွားလာမှုကို မနှောင့်ယှက်ရန် ခေတ္တရပ်/အရှိန်လျှော့၍ စောင့်ရမည်။,,,,,,,,,PENDING,
jp_car_0020,karimen_right_of_way,jp.car.karimen.ch2-priority,easy,N,横断歩道を渡ろうとしている歩行者がいる場合、車は必ず一時停止してその通行を妨げてはならない。,"If a pedestrian is attempting to cross at a crosswalk, vehicles must stop and do not obstruct the pedestrian's passage.",လူကူးမျဉ်းကို ကူးမည့် လူသွားလူလာရှိပါက ကားသည် မဖြစ်မနေ ခေတ္တရပ်၍ ၎င်း၏သွားလာမှုကို မနှောင့်ယှက်ရပါ။,正しい,誤り,True,False,A,横断歩道やその付近を横断しようとする歩行者がいるときは、車は一時停止して歩行者の通行を妨げてはならない。,"When a pedestrian attempts to cross at or near a crosswalk, vehicles must stop temporarily and do not obstruct the pedestrian's passage.",လူကူးမျဉ်း သို့မဟုတ် ၎င်းအနီးကို ကူးမည့် လူသွားလူလာရှိသောအခါ ကားသည် ခေတ္တရပ်ပြီး လူသွားလူလာ၏ သွားလာမှုကို မနှောင့်ယှက်ရပါ။,,,,,,,,,PENDING,
jp_car_0021,karimen_right_of_way,jp.car.karimen.ch2-priority,medium,N,坂道で狭い道路ですれ違いが困難な場合、上りの車が下りの車に道を譲るのが原則である。,"When it is difficult to pass each other on a narrow, hilly road, the general rule is for cars going uphill to give way to cars going downhill.",တောင်ပေါ်လမ်းကျဉ်းတွင် တစ်ဖက်နှင့်တစ်ဖက် ဖြတ်သွားရန်ခက်ခဲသောအခါ တက်နေသောကားသည် ဆင်းနေသောကားအတွက် လမ်းဖယ်ပေးရန် အခြေခံသတ်မှတ်ချက်ဖြစ်သည်။,正しい,誤り,True,False,A,坂道のすれ違いでは、上り坂を走る車は安全な場所に停止しやすいため、下りの車に道を譲るのが基本である。,"When passing each other on a slope, cars traveling uphill tend to stop in a safe place, so the basic rule is to give way to vehicles traveling downhill.",တောင်ပေါ်လမ်းတွင် ဖြတ်သွားရချိန် တက်နေသောကားသည် ဘေးကင်းသောနေရာတွင် ပိုလွယ်ကူစွာ ရပ်နိုင်သောကြောင့် ဆင်းနေသောကားအတွက် လမ်းဖယ်ပေးရန် အခြေခံဖြစ်သည်။,,,,,,,,,PENDING,
jp_car_0022,karimen_right_of_way,jp.car.karimen.ch2-priority,hard,N,通行禁止の規制がない狭い道路と広い道路が交わる場合、広い道路を走る車が優先される。,"When a narrow road and a wide road intersect, where there are no traffic restrictions, cars on the wide road have priority.",သွားလာခွင့်ပိတ်ထားခြင်းမရှိသော လမ်းကျဉ်းနှင့် လမ်းကျယ် ဆုံစည်းသည့်အခါ လမ်းကျယ်ပေါ်မှ ကားက ဦးစားပေးခံရသည်။,正しい,誤り,True,False,A,幅の異なる道路が交わる交差点では、広い道路を走行する車が狭い道路から来る車より優先される。,"At intersections where roads of different widths intersect, vehicles traveling on the wide road have priority over vehicles coming from the narrow road.",အကျယ်ကွဲပြားသော လမ်းများ ဆုံစည်းသည့်လမ်းဆုံတွင် လမ်းကျယ်ပေါ်မှ မောင်းနှင်နေသောကားသည် လမ်းကျဉ်းမှလာသောကားထက် ဦးစားပေးခံရသည်။,,,,,,,,,PENDING,
jp_car_0023,karimen_right_of_way,jp.car.karimen.ch2-priority,medium,N,路面電車が後方から接近しているとき、軌道内を走行する車は速やかに軌道外へ出なければならない。,"When a streetcar is approaching from behind, cars running on the tracks must quickly move off the tracks.",ရထားလမ်းရှိ လှည်း (လမ်းပေါ်ရထား) သည် နောက်ဘက်မှ ချဉ်းကပ်လာသောအခါ လမ်းကြောင်းအတွင်း မောင်းနှင်နေသောကားသည် မြန်မြန်ဆန်ဆန် လမ်းကြောင်းအပြင်သို့ ထွက်ရမည်။,正しい,誤り,True,False,A,路面電車の軌道内を走行している車は、後方から路面電車が接近したときは速やかに軌道外に出て進路を譲らなければならない。,Vehicles traveling on tram tracks must quickly move off the tracks and give way when a tram approaches from behind.,လမ်းပေါ်ရထားလမ်းကြောင်းအတွင်း မောင်းနှင်နေသောကားသည် နောက်ဘက်မှ လမ်းပေါ်ရထား ချဉ်းကပ်လာလျှင် မြန်မြန်ဆန်ဆန် လမ်းကြောင်းအပြင်သို့ထွက်ပြီး လမ်းဖယ်ပေးရမည်။,,,,,,,,,PENDING,
jp_car_0024,karimen_right_of_way,jp.car.karimen.ch2-priority,easy,N,歩行者が横断中の道路に車を進入させる場合、歩行者よりも自車の通過を優先させてもよい。,"When a vehicle enters a road where a pedestrian is crossing, the vehicle may be given priority over the pedestrian.",လူသွားလူလာ ကူးနေသောလမ်းပေါ်သို့ ကားဝင်လိုပါက လူသွားလူလာထက် မိမိကားအား ဦးစွာဖြတ်ပေးနိုင်သည်။,正しい,誤り,True,False,B,歩行者の安全が最優先であり、車は横断中の歩行者の通行を妨げてはならない。,"Pedestrian safety is paramount, and vehicles must not obstruct pedestrian traffic while crossing.",လူသွားလူလာ၏ ဘေးကင်းမှုသည် အရေးကြီးဆုံးဖြစ်ပြီး ကားသည် ကူးနေသော လူသွားလူလာ၏ သွားလာမှုကို မနှောင့်ယှက်ရပါ။,,,,,,,,,PENDING,
jp_car_0025,karimen_right_of_way,jp.car.karimen.ch2-priority,medium,N,交差点で警察官が手信号で交通整理をしている場合、信号機の表示よりも警察官の指示が優先される。,"When a police officer is directing traffic using hand signals at an intersection, the police officer's instructions take priority over the traffic light display.",လမ်းဆုံတွင် ရဲအရာရှိက လက်ဖြင့် အချက်ပြ ထိန်းချုပ်နေပါက မီးပွိုင့်၏ ပြသမှုထက် ရဲအရာရှိ၏ ညွှန်ကြားချက်က ဦးစားပေးခံရသည်။,正しい,誤り,True,False,A,警察官の手信号による指示は信号機の表示よりも優先され、運転者は警察官の指示に従わなければならない。,"A police officer's hand signal instructions have priority over traffic lights, and drivers must follow the police officer's instructions.",ရဲအရာရှိ၏ လက်ဖြင့်အချက်ပြညွှန်ကြားချက်သည် မီးပွိုင့်၏ ပြသမှုထက် ဦးစားပေးခံရပြီး မောင်းသူသည် ရဲအရာရှိ၏ညွှန်ကြားချက်ကို လိုက်နာရမည်။,,,,,,,,,PENDING,
jp_car_0026,karimen_speed_limits_parking,jp.car.karimen.ch3-speed-parking,easy,N,標識による速度規制がない一般道路での普通自動車の最高速度は、法定で時速60キロメートルである。,The legal maximum speed for regular cars on public roads without posted speed limits is 60 kilometers per hour.,ဆိုင်းဘုတ်ဖြင့် အရှိန်ကန့်သတ်ချက်မရှိသော ပုံမှန်လမ်းတွင် ပုံမှန်ကား၏ ဥပဒေအရ အမြန်ဆုံးအရှိန်သည် နာရီပိုင်း ၆၀ ကီလိုမီတာဖြစ်သည်။,正しい,誤り,True,False,A,標識等で特に指定がない一般道路では、普通自動車の法定最高速度は時速60キロメートルである。,"On ordinary roads, unless otherwise specified by signs, the legal maximum speed for ordinary vehicles is 60 kilometers per hour.",ဆိုင်းဘုတ်စသည်ဖြင့် အထူးသတ်မှတ်ချက်မရှိသော ပုံမှန်လမ်းတွင် ပုံမှန်ကား၏ ဥပဒေအရ အမြန်ဆုံးအရှိန်သည် နာရီပိုင်း ၆၀ ကီလိုမီတာဖြစ်သည်။,,,,,,,,,PENDING,
