bank,id,topic,syllabus_ref,difficulty,is_hazard,prompt_en,prompt_my,prompt_ja,choice_a_en,choice_b_en,choice_c_en,choice_a_my,choice_b_my,choice_c_my,choice_a_ja,choice_b_ja,correct_answer,explanation_en,explanation_my,explanation_ja,hazard_p1_en,hazard_p1_answer,hazard_p2_en,hazard_p2_answer,hazard_p3_en,hazard_p3_answer,image_filename,media_src,verified,reviewer_notes
sg_btt,sg_btt_0011,road_signs,btt.signs.pedestrian,easy,,What should a driver do when a traffic light shows flashing amber?,မီးလုံးက ရွှေဝါမီး မှိတ်တုတ်မှိတ်တုတ် ပြသောအခါ ယာဉ်မောင်းသူသည် ဘာလုပ်သင့်သလဲ။,,Proceed with caution if the way is clear,Stop completely and wait for green,Reverse away from the junction,လမ်းပေါက်လျှင် သတိနှင့် ဆက်သွားနိုင်သည်,လုံးဝရပ်ပြီး အစိမ်းမီးကို စောင့်ရမည်,လမ်းဆုံမှ နောက်ပြန်ဆွဲရမည်,,,A,"A flashing amber light means drivers may proceed carefully, giving way to pedestrians and other traffic, if it is safe to do so.",မှိတ်တုတ်မှိတ်တုတ် ရွှေဝါမီးသည် လုံခြုံပါက လမ်းသွားလူများနှင့် အခြားယာဉ်များကို လမ်းဖယ်ပေးပြီး သတိနှင့် ဆက်သွားနိုင်ကြောင်း ဆိုလိုသည်။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0012,road_signs,btt.signs.information,medium,,What does a green arrow signal showing alongside a red light allow a driver to do?,အနီရောင်မီးနှင့်အတူ ပြသနေသော အစိမ်းရောင် မြှားမီးသည် ယာဉ်မောင်းသူကို ဘာလုပ်ခွင့်ပေးသလဲ။,,"Turn in the direction of the arrow only, with care",Go in any direction,Stop and wait for the main green light,မြှားညွှန်ပြသော ဦးတည်ရာသို့သာ သတိနှင့် ကွေ့သွားနိုင်သည်,ဦးတည်ရာမရွေး သွားနိုင်သည်,ရပ်ပြီး အဓိက အစိမ်းမီးကို စောင့်ရမည်,,,A,A green arrow filter light permits movement only in the arrow's direction while the main signal remains red.,အစိမ်းရောင် မြှားစစ်ထုတ်မီးသည် အဓိကမီးက အနီရောင်ဖြစ်နေစဉ် မြှားညွှန်ပြသော ဦးတည်ရာသို့သာ ရွှေ့ခွင့်ပေးသည်။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0013,road_signs,btt.signs.signals,easy,,Hand signal: a motorcyclist extends their right arm straight out horizontally. What does this mean?,လက်ဖြင့်အချက်ပြခြင်း: မော်တော်ဆိုင်ကယ်မောင်းသူသည် ညာဘက်လက်ကို ဘေးတိုက် ဖြောင့်ဖြောင့် ဆန့်ထားသည်။ ဒါက ဘာကိုဆိုလိုသလဲ။,,Turning right,Slowing down,Turning left,ညာဘက်ကွေ့မည်,နှေးစွာ မောင်းမည်,ဘယ်ဘက်ကွေ့မည်,,,A,Extending the right arm straight out horizontally is the standard hand signal for an intended right turn.,ညာဘက်လက်ကို ဘေးတိုက် ဖြောင့်ဖြောင့်ဆန့်ထားခြင်းသည် ညာဘက်ကွေ့မည်ဟု ဆိုလိုသော စံလက်အချက်ပြမှုဖြစ်သည်။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0014,road_signs,btt.signs.signals,medium,,Hand signal: a cyclist raises their right arm with the hand pointing upward (forearm vertical). What does this commonly indicate?,လက်ဖြင့်အချက်ပြခြင်း: စက်ဘီးစီးသူသည် ညာဘက်လက်ကို အထက်သို့ ထောင်ထားသည် (လက်မောင်း ဒေါင်လိုက်)။ ဒါက ဘာကိုဆိုလိုသလဲ။,,Slowing down or stopping,Turning right,Reversing,နှေးစွာမောင်းမည် သို့မဟုတ် ရပ်မည်,ညာဘက်ကွေ့မည်,နောက်ပြန်ဆွဲမည်,,,A,Raising the arm with the forearm vertical and palm facing forward is used to signal slowing down or stopping.,လက်မောင်းကို ဒေါင်လိုက်ထောင်ပြီး လက်ဖဝါးကို ရှေ့သို့ ညွှန်ထားသော အချက်ပြမှုသည် နှေးခြင်း သို့မဟုတ် ရပ်ခြင်းကို ဆိုလိုသည်။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0015,road_signs,btt.signs.mandatory,hard,,A police officer at a junction faces you directly with one arm raised vertically. What should you do?,လမ်းဆုံတွင် ရဲတပ်ဖွဲ့သားတစ်ဦးသည် သင့်ကို တည့်တည့်ကြည့်ပြီး လက်တစ်ဖက်ကို ဒေါင်လိုက်တင်ထားသည်။ သင်ဘာလုပ်သင့်သလဲ။,,"Stop, as this signals traffic from your direction must halt",Proceed straight ahead immediately,Sound your horn and pass quickly,ရပ်ရမည်၊ ဒီအချက်ပြမှုသည် သင့်ဘက်မှ ယာဉ်များ ရပ်ရမည်,ရှေ့သို့ ချက်ချင်း ဆက်သွားရမည်,ဟွန်းတီးပြီး မြန်မြန်ဖြတ်သွားရမည်,,,A,A traffic police officer with one arm raised vertically while facing you is signalling traffic from your direction to stop.,သင့်ကို တည့်တည့်ကြည့်ပြီး လက်တစ်ဖက်ကို ဒေါင်လိုက်တင်ထားသော ယာဉ်ထိန်းရဲသည် သင့်ဘက်မှ ယာဉ်များ ရပ်ရမည်ဟု အချက်ပြနေခြင်းဖြစ်သည်။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0016,road_signs,legacy.road_signs,easy,,What does a sign with a picture of a fuel pump indicate?,ဆီဖြည့်စက်ပုံ ပါသော ဆိုင်းဘုတ်သည် ဘာကို ဆိုလိုတာလဲ။,,A petrol station is nearby,No flammable goods allowed,Vehicle inspection centre ahead,အနီးတွင် ဆီဆိုင်ရှိသည်,မီးလောင်လွယ်သည့်ပစ္စည်း တင်ခွင့်မရှိ,ရှေ့တွင် ယာဉ်စစ်ဆေးရေးစင်တာရှိသည်,,,A,A fuel pump symbol on a blue informatory sign tells drivers that a petrol station is located nearby.,အပြာရောင် အချက်အလက်ဆိုင်းဘုတ်ပေါ်ရှိ ဆီဖြည့်စက်သင်္ကေတသည် အနီးတွင် ဆီဆိုင်ရှိကြောင်း ယာဉ်မောင်းသူများကို ပြောပြသည်။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0017,road_signs,btt.signs.warning,medium,,What does a sign showing a curved arrow merging from the left mean?,ဘယ်ဘက်မှ ပေါင်းစည်းနေသော ကွေ့မြှားပါသော ဆိုင်းဘုတ်သည် ဘာကို ဆိုလိုသလဲ။,,Traffic joining from the left ahead,Road narrows on the right,Roundabout ahead,ရှေ့တွင် ဘယ်ဘက်မှ ယာဉ်ကြောပေါင်းစည်းနေသည်,ညာဘက် လမ်းကျုံ့သွားသည်,ရှေ့တွင် လမ်းမှောင့်,,,A,This warning sign alerts drivers that traffic from a side road will be merging into their lane ahead.,ဒီသတိပေးဆိုင်းဘုတ်သည် ဘေးလမ်းမှ ယာဉ်ကြောသည် ရှေ့တွင် သူတို့၏ လိုင်းသို့ ပေါင်းစည်းလာမည်ဟု ယာဉ်မောင်းသူများကို သတိပေးသည်။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0018,road_signs,btt.signs.prohibitory,easy,,What does a circular red sign showing '10 TONNES' mean?,အဖြူရောင် အလျားတန်းမျဉ်းနှင့် '3.5t' ဂဏန်းပါသော အနီရောင် အဝိုင်းဆိုင်းဘုတ်သည် ဘာကို ဆိုလိုသလဲ။,,Vehicles over 3.5 tonnes are prohibited,Minimum speed of 3.5 km/h required,Toll fee of 3.5 dollars applies,၃.၅ တန်ကျော် ယာဉ်များ ဝင်ခွင့်မရှိ,အနိမ့်ဆုံးအမြန်နှုန်း ၃.၅ km/h လိုအပ်သည်,လမ်းခွန် ၃.၅ ဒေါ်လာ ကျသင့်သည်,,,A,A weight figure inside a red prohibitory circle restricts vehicles heavier than the stated weight from entering.,အနီရောင် တားမြစ်အဝိုင်းအတွင်းရှိ အလေးချိန်ဂဏန်းသည် ဖော်ပြထားသော အလေးချိန်ထက် လေးသော ယာဉ်များ ဝင်ခွင့်ကို တားမြစ်သည်။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0019,road_signs,btt.signs.warning,medium,,What does a sign showing a silhouette of a deer or animal crossing mean?,တောရိုင်းတိရစ္ဆာန် (သို့) သမင်ရိပ် ဖြတ်ကူးနေသည့်ပုံ ပါသော ဆိုင်းဘုတ်သည် ဘာကို ဆိုလိုသလဲ။,,Wild animals may cross the road ahead,A zoo or wildlife park entrance,No hunting zone,ရှေ့တွင် တောရိုင်းတိရစ္ဆာန်များ လမ်းဖြတ်ကူးနိုင်သည်,တိရစ္ဆာန်ရုံ သို့မဟုတ် တောရိုင်းတိရစ္ဆာန်ဥယျာဉ် ဝင်ပေါက်,တိရစ္ဆာန်လုပ်ခွင့်မရှိသောဇုန်,,,A,This warning sign is placed near nature reserves to alert drivers that animals may unexpectedly cross the road.,ဒီသတိပေးဆိုင်းဘုတ်ကို သဘာဝထိန်းသိမ်းရေးနယ်မြေအနီးတွင် တိရစ္ဆာန်များ မမျှော်လင့်ဘဲ လမ်းဖြတ်ကူးနိုင်ကြောင်း သတိပေးရန် တပ်ဆင်ထားသည်။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0020,road_signs,btt.signs.warning,easy,,What does a sign with a red border showing 'M5' with a red diagonal line through it mean (a route number with a slash)?,'M5' ဂဏန်းအပေါ် အနီရောင်ဖြတ်ကျော်မျဉ်းပါသော အနီရောင်အနားသတ်ဆိုင်းဘုတ်သည် (လမ်းနံပါတ်ပေါ်တွင် ဖြတ်ကျော်မျဉ်း) ဘာကို ဆိုလိုသလဲ။,,That expressway/route is closed or restricted ahead,Route M5 starts here,Speed limit on route M5 is 5 km/h,ထိုအမြန်လမ်းမ/လမ်းကြောင်းသည် ရှေ့တွင် ပိတ်ထားခြင်း သို့မဟုတ် ကန့်သတ်ထားခြင်း,လမ်းကြောင်း M5 ဒီနေရာမှ စတင်သည်,M5 လမ်းကြောင်းပေါ်တွင် အမြန်နှုန်း ၅ km/h,,,A,"A route number with a diagonal strike-through indicates that the named route is closed, restricted, or no longer accessible ahead.",လမ်းနံပါတ်ပေါ်ရှိ ဖြတ်ကျော်မျဉ်းသည် ထိုလမ်းကြောင်းသည် ရှေ့တွင် ပိတ်ထားခြင်း၊ ကန့်သတ်ထားခြင်း သို့မဟုတ် ဆက်လက်မရောက်နိုင်ကြောင်း ဖော်ပြသည်။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0021,road_signs,btt.signs.mandatory,hard,,"What is the difference between a 'Stop' sign (octagonal, red) and a 'Give Way' sign (inverted triangle)?",'ရပ်ရန်' ဆိုင်းဘုတ် (ရှစ်ဒေါင့်ပုံ၊ အနီရောင်) နှင့် 'လမ်းဖယ်ရန်' ဆိုင်းဘုတ် (အောက်ခွေ တြိဂံ) တို့၏ ခြားနားချက်က ဘာလဲ။,,Stop requires a complete halt; Give Way only requires slowing and yielding if needed,They mean exactly the same thing,"Give Way is only for pedestrians, Stop is only for vehicles",ရပ်ရန်ဆိုင်းဘုတ်သည် လုံးဝရပ်ရန် လိုအပ်ပြီး လမ်းဖယ်ရန်ဆိုင်းဘုတ်သည် လိုအပ်မှသာ နှေးကာ လမ်းဖယ်ရန် လိုအပ်သည်,ဒီနှစ်ခုက အတူတူပင်ဖြစ်သည်,လမ်းဖယ်ရန်သည် လူသွားလူလာအတွက်သာ၊ ရပ်ရန်သည် ယာဉ်အတွက်သာ,,,A,"A Stop sign legally requires drivers to come to a complete stop before proceeding, while a Give Way sign only requires yielding to other traffic without a mandatory full stop.",ရပ်ရန်ဆိုင်းဘုတ်သည် ဥပဒေအရ ဆက်မသွားမီ လုံးဝရပ်ရမည်ဖြစ်ပြီး လမ်းဖယ်ရန်ဆိုင်းဘုတ်သည် မဖြစ်မနေရပ်ရန် မလိုအပ်ဘဲ အခြားယာဉ်ကြောကို လမ်းဖယ်ပေးရန်သာ လိုအပ်သည်။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0022,road_signs,btt.signs.mandatory,easy,,What does a sign showing a bicycle inside a red circle with a diagonal bar mean?,အနီရောင်ဖြတ်ကျော်မျဉ်းပါသော အနီရောင်အဝိုင်းအတွင်း စက်ဘီးပုံပါသော ဆိုင်းဘုတ်သည် ဘာကို ဆိုလိုသလဲ။,,Cyclists are not permitted on this road,Bicycle parking only,Cyclists must dismount and push,ဒီလမ်းတွင် စက်ဘီးစီးခွင့်မရှိ,စက်ဘီးရပ်နားရန်နေရာသာ,စက်ဘီးစီးသူများ ဆင်းပြီး တွန်းသွားရမည်,,,A,A bicycle symbol inside a red prohibitory circle with a diagonal bar means cycling is not allowed on that road.,အနီရောင် တားမြစ်အဝိုင်းအတွင်း ဖြတ်ကျော်မျဉ်းပါ စက်ဘီးသင်္ကေတသည် ထိုလမ်းတွင် စက်ဘီးစီးခွင့်မရှိကြောင်း ဆိုလိုသည်။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0023,road_signs,btt.signs.warning,medium,,A sign shows a picture of a narrowing road with lines converging on both sides. What should you do?,ဘေးနှစ်ဘက်မှ မျဉ်းများ စုစည်းနေသည့် လမ်းကျုံ့ပုံပါသော ဆိုင်းဘုတ်ကို မြင်လျှင် သင်ဘာလုပ်သင့်သလဲ။,,Slow down and be ready for the road to become narrower,Speed up to pass before the narrowing,Stop immediately and turn back,နှေးစွာမောင်းပြီး လမ်းကျုံ့လာမှုအတွက် အသင့်ဖြစ်နေရမည်,လမ်းမကျုံ့ခင် မြန်မြန်ဖြတ်သွားရမည်,ချက်ချင်းရပ်ပြီး ပြန်ကွေ့ရမည်,,,A,A road narrowing warning sign tells drivers to reduce speed and be cautious as the carriageway width decreases ahead.,လမ်းကျုံ့ခြင်း သတိပေးဆိုင်းဘုတ်သည် ရှေ့တွင် လမ်းအကျယ် လျော့ကျသွားမည့်အတွက် အမြန်နှုန်းလျှော့ပြီး သတိနှင့်မောင်းရန် ပြောပြသည်။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0024,road_signs,btt.signs.mandatory,easy,,"What does a sign with a picture of a pedestrian and a child holding hands, in a blue square, indicate?",အပြာရောင်ထောင့်လေးထောင့်အတွင်း လူနှင့် ကလေးတစ်ဦး လက်ဆွဲထားသည့်ပုံပါသော ဆိုင်းဘုတ်သည် ဘာကို ဆိုလိုတာလဲ။,,A pedestrian path or footpath designated for use,No pedestrians allowed,School bus stop only,သတ်မှတ်ထားသော လူသွားလမ်း သို့မဟုတ် ခြေလျင်လမ်း,လူသွားလူလာ ဝင်ခွင့်မရှိ,ကျောင်းဘတ်စ်ကားရပ်နားရန်နေရာသာ,,,A,A blue informatory/mandatory sign with pedestrian figures designates a path intended for pedestrian use.,လူသွားရိပ်ပါသော အပြာရောင် အချက်အလက်/ညွှန်ကြားဆိုင်းဘုတ်သည် လူသွားလမ်းအဖြစ် ရည်ရွယ်ထားသော လမ်းကို ဖော်ပြသည်။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0025,road_signs,btt.signs.warning,medium,,What does a sign showing two opposing curved arrows (like an S-shape) mean?,ဆန့်ကျင်ဘက် ကွေ့မြှားနှစ်ခု (S ပုံစံ) ပါသော ဆိုင်းဘုတ်သည် ဘာကို ဆိုလိုသလဲ။,,"A series of bends ahead, first to one side then the other",U-turn permitted,Roundabout with two exits,ရှေ့တွင် ဘေးတစ်ဖက်ပြီး တစ်ဖက် အကွေ့များ ဆက်တိုက်ပါရှိသည်,U-turn ပြန်ကွေ့ခွင့်ရှိသည်,ထွက်ပေါက်နှစ်ခုရှိသော လမ်းမှောင့်,,,A,"This warning sign indicates a series of bends ahead, alerting drivers to reduce speed before entering the winding section.",ဒီသတိပေးဆိုင်းဘုတ်သည် ရှေ့တွင် အကွေ့များ ဆက်တိုက်ရှိကြောင်း ဖော်ပြပြီး ကွေ့ကောက်သည့်လမ်းပိုင်းသို့ မဝင်မီ အမြန်နှုန်းလျှော့ရန် သတိပေးသည်။,,,,,,,,,,PENDING,
sg_btt,sg_btt_0026,road_signs,btt.signs.warning,easy,,What does a sign with a picture of traffic lights (just a graphic of a signal head) mean?,မီးလုံးပုံ (signal head ပုံသာ) ပါသော ဆိုင်းဘုတ်သည် ဘာကို ဆိုလိုသလဲ။,,Traffic light signals ahead,Traffic lights are out of service permanently,No stopping at signals,ရှေ့တွင် ယာဉ်ထိန်းမီးလုံးများ ရှိသည်,ယာဉ်ထိန်းမီးလုံးများ အပြီးအပိုင် ပျက်နေသည်,မီးလုံးတွင် ရပ်ခွင့်မရှိ,,,A,This warning sign alerts drivers that they are approaching a signal-controlled junction ahead.,ဒီသတိပေးဆိုင်းဘုတ်သည် ယာဉ်မောင်းသူများ ရှေ့တွင် မီးလုံးဖြင့် ထိန်းချုပ်ထားသော လမ်းဆုံသို့ နီးကပ်လာကြောင်း သတိပေးသည်။,,,,,,,,,,PENDING,
