id,topic,syllabus_ref,difficulty,prompt_en,prompt_my,choice_a_en,choice_b_en,choice_c_en,choice_a_my,choice_b_my,choice_c_my,correct_answer,explanation_en,explanation_my,image_filename,media_src,verified,reviewer_notes
sg_rtt_0011,road_signs_signals,,hard,You approach a junction with flashing red traffic lights but no officer present. What is the correct action?,ရဲမရှိသော လမ်းဆုံတွင် မီးနီ တဖျတ်ဖျတ်ပြနေသည်ကို တွေ့ရလျှင် မှန်ကန်သောလုပ်ဆောင်ချက်က ဘာလဲ။,"Treat it like a stop sign: stop fully, then proceed only when safe",Slow down slightly and continue without stopping,It has no legal meaning if no officer is present,ရပ်ဆိုင်းဘုတ်ကဲ့သို့ သတ်မှတ်ပါ — အပြည့်အဝရပ်ပြီး ဘေးကင်းမှသာ ဆက်သွားပါ,အနည်းငယ် မြန်နှုန်းလျှော့ပြီး မရပ်ဘဲ ဆက်သွားပါ,ရဲမရှိလျှင် ဥပဒေရေးရာ အဓိပ္ပါယ်မရှိပါ,A,"A flashing red light requires a full stop, just like a stop sign, before proceeding when the way is clear.",မီးနီ တဖျတ်ဖျတ်ပြခြင်းသည် ရပ်ဆိုင်းဘုတ်ကဲ့သို့ပင် အပြည့်အဝ ရပ်ရန် လိုအပ်ပြီး လမ်းကြောင်းကင်းမှသာ ဆက်သွားရမည်။,,,PENDING,
sg_rtt_0012,road_signs_signals,,easy,"A round sign with a black motorcycle on a white background and red border, with no other marking, generally indicates what?",အခြားမည်သည့်အမှတ်အသားမှမရှိသော အဖြူရောင်နောက်ခံပေါ်ရှိ အနက်ရောင်ဆိုင်ကယ်ပုံပါသည့် အနီရောင်အနားသတ်စက်ဝိုင်းဆိုင်းဘုတ်သည် အများအားဖြင့် ဘာကိုဆိုလိုသလဲ။,Restriction or hazard specifically concerning motorcycles,Motorcycle rental shop nearby,Free motorcycle servicing area,ဆိုင်ကယ်များနှင့် ဆိုင်သော ကန့်သတ်ချက် သို့မဟုတ် အန္တရာယ်,အနီးတွင် ဆိုင်ကယ်ငှားရမ်းဆိုင်ရှိသည်,အခမဲ့ ဆိုင်ကယ်ပြုပြင်ရေးဇုန်,A,"A motorcycle symbol within a red-bordered regulatory sign always signals a rule, restriction, or hazard that specifically applies to motorcyclists.",အနီရောင်အနားသတ် စည်းမျဉ်းဆိုင်းဘုတ်ထဲတွင် ဆိုင်ကယ်ပုံပါရှိလျှင် ဆိုင်ကယ်မောင်းသူများအတွက် သီးသန့်သက်ဆိုင်သော စည်းမျဉ်း၊ ကန့်သတ်ချက် သို့မဟုတ် အန္တရာယ်ကို အမြဲဆိုလိုသည်။,,,PENDING,
sg_rtt_0013,road_signs_signals,,medium,What does a sign showing two opposing arrows curving around each other indicate?,တစ်ခုနှင့်တစ်ခု ဆန့်ကျင်ဘက်ပတ်ပတ်လည်ကွေ့နေသော မြှားနှစ်ချောင်းပါသော ဆိုင်းဘုတ်သည် ဘာကိုဆိုလိုသလဲ။,A roundabout ahead,Two-way traffic begins,U-turn permitted here,ရှေ့တွင် အလှည့်ဝန်းရှိသည်,ယာဉ်နှစ်လမ်းသွား စတင်သည်,ဒီနေရာတွင် ပြန်လှည့်ခွင့်ရှိသည်,A,"This sign warns riders of an approaching roundabout, where they must give way to traffic already circulating from the right.",ဒီဆိုင်းဘုတ်သည် ချဥ်းကပ်လာသော အလှည့်ဝန်းကို သတိပေးပြီး ညာဘက်မှ လှည့်ပတ်နေသော ယာဉ်များကို လမ်းဖယ်ပေးရမည်။,,,PENDING,
sg_rtt_0014,road_signs_signals,,easy,A green rectangular sign with a white arrow and text showing a place name is what kind of sign?,နေရာအမည်နှင့် အဖြူရောင်မြှားပါသော အစိမ်းရောင် စတုဂံဆိုင်းဘုတ်သည် မည်သည့်အမျိုးအစား ဆိုင်းဘုတ်ဖြစ်သလဲ။,An informatory/direction sign,A warning sign,A prohibition sign,သတင်းအချက်အလက်/ လမ်းညွှန်ဆိုင်းဘုတ်,သတိပေးဆိုင်းဘုတ်,တားမြစ်ဆိုင်းဘုတ်,A,Green rectangular signs with arrows and place names are informatory signs that guide drivers and riders toward destinations.,မြှားနှင့် နေရာအမည်ပါသော အစိမ်းရောင် စတုဂံဆိုင်းဘုတ်များသည် ယာဉ်မောင်းသူများကို ဦးတည်ရာသို့ လမ်းညွှန်ပေးသော သတင်းအချက်အလက်ဆိုင်းဘုတ်များဖြစ်သည်။,,,PENDING,
sg_rtt_0015,road_signs_signals,,medium,"What does a sign with a black exclamation mark in a yellow triangle, placed with no other symbol, generally warn of?",အခြားအမှတ်အသားမပါဘဲ အဝါရောင်တြိဂံအတွင်း အနက်ရောင် အာမေဋိတ်အမှတ်ပါသော ဆိုင်းဘုတ်သည် အများအားဖြင့် မည်သည့်အရာကို သတိပေးသလဲ။,A general hazard not covered by a specific symbol,School zone ahead,End of all restrictions,သတ်မှတ်အမှတ်အသားနှင့် မကိုက်ညီသော ဘုံအန္တရာယ်,ရှေ့တွင် ကျောင်းဇုန်ရှိသည်,ကန့်သတ်ချက်အားလုံး ပြီးဆုံးခြင်း,A,"A plain exclamation mark warning sign is used for general hazards ahead that do not have a dedicated pictogram, such as unusual or temporary dangers.",ရိုးရှင်းသော အာမေဋိတ်အမှတ် သတိပေးဆိုင်းဘုတ်သည် သီးသန့်ပုံသင်္ကေတမရှိသော ရှေ့ရှိ ဘုံအန္တရာယ်များ ဥပမာ - ထူးခြားသော သို့မဟုတ် ခေတ္တအန္တရာယ်များအတွက် အသုံးပြုသည်။,,,PENDING,
sg_rtt_0016,road_signs_signals,,hard,"At an unsignalised pedestrian crossing, a pedestrian is waiting at the curb but has not stepped onto the crossing. What should a rider do?",မီးပြမရှိသော လူကူးမျဉ်းတွင် လူတစ်ဦးသည် လမ်းကောင်ဘေးတွင် စောင့်နေသော်လည်း လူကူးမျဉ်းပေါ်သို့ မလှမ်းရသေးပါက ယာဉ်မောင်းသူ ဘာလုပ်သင့်သလဲ။,Slow down and be prepared to stop in case the pedestrian steps onto the crossing,Maintain speed since the pedestrian has not stepped onto the crossing yet,Sound the horn to warn the pedestrian not to cross,လူသည် လူကူးမျဉ်းပေါ်သို့ လှမ်းနိုင်သောကြောင့် မြန်နှုန်းလျှော့ပြီး ရပ်ရန် အသင့်ပြင်ထားပါ,လူက လူကူးမျဉ်းပေါ်သို့ မလှမ်းရသေးသောကြောင့် မြန်နှုန်းကို ဆက်ထားပါ,လူကို မဖြတ်ရန် သတိပေးရန် ဟွန်းတီးပါ,A,"Even before stepping onto the crossing, a waiting pedestrian could move at any time, so riders should slow down and be ready to stop.",လူကူးမျဉ်းပေါ်သို့ မလှမ်းမီတောင် စောင့်နေသောလူသည် မည်သည့်အချိန်မဆို ရွေ့လှားနိုင်သောကြောင့် ယာဉ်မောင်းသူများသည် မြန်နှုန်းလျှော့ပြီး ရပ်ရန် အသင့်ပြင်ထားသင့်သည်။,,,PENDING,
sg_rtt_0017,road_signs_signals,,easy,What does an octagonal red sign with the word 'STOP' require?,'STOP' စာလုံးပါသော ရှစ်ဒေါင့်ပုံ အနီရောင်ဆိုင်းဘုတ်သည် ဘာလုပ်ရန် လိုအပ်သလဲ။,Come to a complete stop and proceed only when safe,Slow down but not necessarily stop,Give priority only to buses,အပြည့်အဝရပ်ပြီး ဘေးကင်းမှသာ ဆက်သွားပါ,မြန်နှုန်းလျှော့ပါ၊ မရပ်တန်းမရပ်,ဘတ်စ်ကားများကိုသာ ဦးစားပေးပါ,A,A stop sign requires every vehicle to come to a complete halt before proceeding when it is safe.,ရပ်ဆိုင်းဘုတ်သည် ယာဉ်တိုင်းအား ဘေးကင်းမှ ဆက်မသွားမီ အပြည့်အဝ ရပ်ရန် လိုအပ်သည်။,,,PENDING,
sg_rtt_0018,road_signs_signals,,medium,A sign shows a motorcycle and a car side by side with an arrow merging into one lane. What does this mean?,ဆိုင်ကယ်နှင့်ကားကို တန်းလျားကွပ်ပြီး လမ်းကြောတစ်ကြောင်းတည်းသို့ ပေါင်းစည်းနေသည့် မြှားပါသော ဆိုင်းဘုတ်သည် ဘာကိုဆိုလိုသလဲ။,Lanes are merging ahead; merge carefully and watch for other vehicles,Motorcycles must always give way to cars at this point,A motorcycle-only lane begins here,ရှေ့တွင် လမ်းကြောများ ပေါင်းစည်းမည်ဖြစ်သောကြောင့် သတိနှင့်ပေါင်းစည်းပြီး အခြားယာဉ်များကို ကြည့်ပါ,ဒီနေရာတွင် ဆိုင်ကယ်သည် ကားကို အမြဲလမ်းဖယ်ပေးရမည်,ဒီနေရာမှ ဆိုင်ကယ်သီးသန့်လမ်းကြော စတင်သည်,A,"This sign warns of a lane merge ahead; all vehicles, regardless of type, should merge safely while checking mirrors and blind spots.",ဒီဆိုင်းဘုတ်သည် ရှေ့တွင် လမ်းကြောပေါင်းစည်းမည်ဖြစ်ကြောင်း သတိပေးသည်၊ ယာဉ်အမျိုးအစားမရွေး ကြေးမှန်နှင့် မျက်စိမမြင်ရသောနေရာများကို စစ်ဆေးပြီး ဘေးကင်းစွာ ပေါင်းစည်းသင့်သည်။,,,PENDING,
sg_rtt_0019,road_signs_signals,,easy,A sign with a bicycle symbol inside a red circle with a diagonal bar means what?,အနီရောင်စက်ဝိုင်းအတွင်း ဖြတ်မျဉ်းနှင့်အတူ စက်ဘီးပုံပါသော ဆိုင်းဘုတ်သည် ဘာကိုဆိုလိုသလဲ။,Bicycles are not allowed on this road,Bicycle parking only,Shared path for bicycles and motorcycles,ဒီလမ်းတွင် စက်ဘီးများ ဝင်ခွင့်မရှိ,စက်ဘီးရပ်နားရန် နေရာသာ,စက်ဘီးနှင့် ဆိုင်ကယ် မျှဝေသုံးသော လမ်း,A,A symbol crossed by a red diagonal bar within a circle is a prohibition; here it bans bicycles from that road.,စက်ဝိုင်းအတွင်း အနီရောင်ဖြတ်မျဉ်းဖြတ်ထားသော သင်္ကေတသည် တားမြစ်ခြင်းဖြစ်ပြီး ဒီနေရာတွင် စက်ဘီးများကို ထိုလမ်းမှ တားမြစ်သည်။,,,PENDING,
sg_rtt_0020,road_signs_signals,,medium,What does it mean when a rider ahead of you extends their left arm and moves it up and down?,ရှေ့မှ ယာဉ်မောင်းသူသည် ဘယ်ဘက်လက်ကို ညှင်းပြီး အပေါ်အောက်လှုပ်လျှင် ဘာကိုဆိုလိုသလဲ။,Slowing down or stopping,Turning left,Overtaking another vehicle,မြန်နှုန်းလျှော့သည် သို့မဟုတ် ရပ်တော့မည်,ဘယ်ဘက်ကွေ့မည်,အခြားယာဉ်ကို ကျော်တက်မည်,A,"Moving an extended arm up and down is the hand signal for slowing down or stopping, alerting riders or drivers behind.",ညှင်းထားသောလက်ကို အပေါ်အောက်လှုပ်ခြင်းသည် မြန်နှုန်းလျှော့မည် သို့မဟုတ် ရပ်တော့မည်ကို နောက်က ယာဉ်မောင်းသူများအား အသိပေးသော လက်အချက်ပြဖြစ်သည်။,,,PENDING,
sg_rtt_0021,road_signs_signals,,hard,A flashing amber arrow at a signalised junction allows you to turn in that direction provided what condition is met?,ယာဉ်မီးပြလမ်းဆုံတွင် မီးဝါမြှား တဖျတ်ဖျတ်ပြနေလျှင် မည်သည့်အခြေအနေနှင့် ကိုက်ညီမှသာ ထိုဘက်သို့ ကွေ့နိုင်သလဲ။,You give way to pedestrians and oncoming traffic before turning,You sound the horn before turning,Any oncoming vehicle has already stopped completely,ကွေ့မီ လူသွားလူလာနှင့် ဆန့်ကျင်ဘက်ယာဉ်များကို လမ်းဖယ်ပေးရမည်,ကွေ့မီ ဟွန်းတီးရမည်,ဆန့်ကျင်ဘက်ယာဉ်တိုင်း အပြည့်အဝရပ်ပြီးသွားသည်,A,"A flashing amber arrow permits a filter turn, but the rider must yield to pedestrians and any conflicting oncoming traffic before proceeding.",မီးဝါမြှား တဖျတ်ဖျတ်ပြခြင်းသည် ဖြတ်ကွေ့ခွင့်ပြုသော်လည်း ယာဉ်မောင်းသူသည် ဆက်သွားမီ လူသွားလူလာနှင့် ဆန့်ကျင်ဘက်မှ ဆက်လက်ရောက်ရှိနေသော ယာဉ်များကို လမ်းဖယ်ပေးရမည်။,,,PENDING,
sg_rtt_0022,road_signs_signals,,easy,A circular sign showing the number '70' inside a red border on a white background means what?,အဖြူရောင်နောက်ခံပေါ် အနီရောင်အနားသတ်အတွင်း '70' ဂဏန်းပါသော စက်ဝိုင်းဆိုင်းဘုတ်သည် ဘာကိုဆိုလိုသလဲ။,Maximum speed limit of 70 km/h,Minimum speed limit of 70 km/h,Distance of 70 m to the next junction,အများဆုံး အမြန်နှုန်းကန့်သတ်ချက် 70 km/h,အနည်းဆုံး အမြန်နှုန်းကန့်သတ်ချက် 70 km/h,နောက်လမ်းဆုံအထိ အကွာအဝေး 70 m,A,A number inside a red-bordered circle indicates the maximum speed permitted on that stretch of road.,အနီရောင်အနားသတ်စက်ဝိုင်းအတွင်းရှိ ဂဏန်းသည် ထိုလမ်းပိုင်းတွင် ခွင့်ပြုထားသော အများဆုံးအမြန်နှုန်းကို ဖော်ပြသည်။,,,PENDING,
sg_rtt_0023,road_signs_signals,,medium,What does a sign showing a motorcycle with the word 'ERP' typically warn riders about?,'ERP' စာလုံးနှင့်အတူ ဆိုင်ကယ်ပုံပါသော ဆိုင်းဘုတ်သည် ယာဉ်မောင်းသူများကို အများအားဖြင့် ဘာကို သတိပေးသလဲ။,An Electronic Road Pricing gantry is ahead where charges may apply,An emergency repair point for motorcycles is ahead,A motorcycle racing track exit is ahead,ရှေ့တွင် အခကြေးငွေ ကောက်ခံနိုင်သော Electronic Road Pricing (ERP) တံခါးရှိသည်,ရှေ့တွင် ဆိုင်ကယ်အရေးပေါ် ပြုပြင်ရေးနေရာရှိသည်,ရှေ့တွင် ဆိုင်ကယ်ပြိုင်ကွင်း အထွက်ရှိသည်,A,"ERP gantries automatically deduct road usage charges from registered vehicles, including motorcycles, when passing under them during operating hours.",ERP တံခါးများသည် လုပ်ငန်းချိန်အတွင်း အောက်မှ ဖြတ်သန်းသော ဆိုင်ကယ်အပါအဝင် မှတ်ပုံတင်ထားသော ယာဉ်များမှ လမ်းသုံးခကို အလိုအလျောက် နှိမ့်ယူသည်။,,,PENDING,
sg_rtt_0024,road_signs_signals,,hard,"Two riders approach a junction from opposite directions, both wanting to turn right with no signal control. Who has priority?",ယာဉ်မီးပြမရှိသော လမ်းဆုံသို့ ယာဉ်မောင်းသူနှစ်ဦးသည် ဆန့်ကျင်ဘက်လမ်းကြောင်းများမှ ညာဘက်ကွေ့ရန် လာကြသည်။ ဘယ်သူက ဦးစားပေးခွင့်ရှိသလဲ။,"Both should slow down, make eye contact if possible, and proceed only when it is clearly safe",The vehicle on the left always has automatic priority,Whichever rider arrives first may proceed without caution,နှစ်ဦးစလုံး မြန်နှုန်းလျှော့ပြီး ဖြစ်နိုင်ရင် မျက်လုံးချင်းဆုံပြီး ရှင်းရှင်းလင်းလင်း ဘေးကင်းမှသာ ဆက်သွားသင့်သည်,ဘယ်ဘက်ရှိယာဉ်က အမြဲတမ်း အလိုအလျောက် ဦးစားပေးခွင့်ရှိသည်,ဦးဆုံးရောက်ရှိလာသော ယာဉ်မောင်းသူသည် သတိမစိုက်ဘဲ ဆက်သွားနိုင်သည်,A,"Without traffic control, there is no automatic priority for opposing right turns; both riders must slow down, communicate, and proceed cautiously to avoid collision.",ယာဉ်ထိန်းချုပ်မှု မရှိသောအခါ ဆန့်ကျင်ဘက်ညာဘက်ကွေ့ခြင်းအတွက် အလိုအလျောက် ဦးစားပေးခွင့် မရှိပါ၊ ယာဉ်မောင်းသူနှစ်ဦးစလုံး မြန်နှုန်းလျှော့ပြီး အချင်းချင်းနားလည်မှုရယူပြီးမှ သတိနှင့်ဆက်သွားရမည်။,,,PENDING,
sg_rtt_0025,road_signs_signals,,easy,A sign showing a white 'H' inside a blue square indicates what?,အပြာရောင်စတုဂံအတွင်း အဖြူရောင် 'H' စာလုံးပါသော ဆိုင်းဘုတ်သည် ဘာကိုဆိုလိုသလဲ။,Hospital nearby,Highway entrance,Helmet inspection point,အနီးတွင် ဆေးရုံရှိသည်,အဝှေးလမ်းမ ဝင်ပေါက်,ဆောင်းထောက်စစ်ဆေးရေးနေရာ,A,Blue informatory signs with an 'H' indicate the direction to the nearest hospital.,'H' စာလုံးပါသော အပြာရောင် သတင်းအချက်အလက်ဆိုင်းဘုတ်များသည် အနီးဆုံးဆေးရုံသို့ သွားသောလမ်းကြောင်းကို ညွှန်ပြသည်။,,,PENDING,
sg_rtt_0026,right_of_way_traffic_rules,,easy,"At a roundabout, which traffic generally has the right of way?",အလှည့်ဝန်းတွင် မည်သည့်ယာဉ်များက ပုံမှန်အားဖြင့် ဦးစားပေးခွင့်ရှိသလဲ။,Traffic already circulating within the roundabout,Traffic entering the roundabout,Whichever vehicle is larger,အလှည့်ဝန်းအတွင်း လှည့်ပတ်နေနှင့်ပြီးသော ယာဉ်များ,အလှည့်ဝန်းသို့ ဝင်လာသော ယာဉ်များ,ပိုကြီးသော ယာဉ်,A,Vehicles already circulating in a roundabout have priority; vehicles entering must give way to them.,အလှည့်ဝန်းအတွင်း လှည့်ပတ်နေနှင့်ပြီးသော ယာဉ်များသည် ဦးစားပေးခွင့်ရှိပြီး ဝင်လာသော ယာဉ်များက လမ်းဖယ်ပေးရမည်။,,,PENDING,
